VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,-0.21319182727706,-0.194806314709992,-0.188446877211853,-0.21265970987044,-0.191197733408276,-0.204550250509117,-0.197825949403032,-0.225375666563928,-0.17018824047384
cat2,0.055560432180081,0.077874212930671,0.0675687035508757,0.0416918965484511,0.0686831137577193,0.0651092337893082,0.0602932083099828,-0.0306656651448562,0.0982742587536176
cat3,0.0710668070307447,0.0804110475262639,0.128324339828174,0.100371809892989,0.132675814054049,0.106707458540695,0.116140986818451,0.0515945985644762,0.120255671480873
cat4,0.029626763742843,0.024891870560049,0.13214563707178,0.0790255164991675,0.148216872912197,0.0981730477209889,0.110065471986327,-0.0526303129781549,0.212860049653596
cat5,0.297589380517755,0.376945996843106,0.283527950650706,0.305791074287877,0.27297690893181,0.336907924115432,0.284148941565116,0.1993974316691,0.38109409380922
cat6,-0.050994818286222,-0.0504946987882963,0.0223380089834236,-0.0255546219912992,0.0349238565107455,-0.015409255706151,0.00529145586259587,-0.0743458163114162,0.0664555527264613
cat7,-0.0477364631824991,-0.0548021433898932,-0.0528316934842581,-0.0492810729952023,-0.0540779019158234,-0.0717244188421526,-0.0542895206394464,-0.0621696073801327,-0.059425261155942
cat8,0.248814100819079,0.273657852604498,0.241199053450969,0.236706390661328,0.24541769652424,0.261832705872954,0.246374894557289,0.199088145057675,0.332662732962876
cat9,-0.235716916038484,-0.259536927318058,-0.255942358881153,-0.26854403925518,-0.253724490592189,-0.215824647541252,-0.244066533343151,-0.213651792276244,-0.247285135100259
cat10,0.0394201655020043,0.0198238270079381,0.0987367917313341,0.0736440179445648,0.0989325237708171,0.0689931709904331,0.0901977116027401,0.0157841988776098,0.149332046148445
h0,0.398163347023136,0.316963034023868,0.190528994890114,0.597601541680436,0.194832704881244,0.284794397389237,0.242340615160171,0.529451840707485,0.144028712165134
h1,0.678821332328528,0.530517709173944,0.500667913178189,0.523790799040105,0.487525194861391,0.581066993114969,0.527287343520116,0.451019852913621,0.451105055642817
h2,0.820647397064524,0.655958985946003,0.658235636542787,0.565360903659567,0.631967422243467,0.71299579701024,0.669679065229724,0.397155871651418,0.602199448844632
h3,0.918034479752156,0.71149770611317,0.77451397633452,0.652326813659941,0.739404775542575,0.809674953725686,0.765604257459922,0.446623179888201,0.716774378665705
h4,0.994166011903305,0.720774066289419,0.876628194484069,0.743636625223764,0.831393411400661,0.891233471583643,0.848343833085573,0.41116557174788,0.818381582919954
h5,0.919282225709019,0.683966637049602,0.949776947843405,0.81678060445158,0.895517108073815,0.967659859368439,0.821923324667832,0.401056449884188,0.885445652332635
h6,0.826371073300927,0.630147340102063,1.01170562181957,0.873651772919793,0.955039551924712,0.753972200125266,0.789442862679292,0.390828847449102,0.94201792017307
h7,0.769813734239417,0.584977188154543,1.06107244414231,0.920920940751188,0.993077270628432,0.74820410117473,0.777388637110336,0.375029213381382,0.9937536250377
h8,0.712059048491005,0.538514282508947,1.10478259424847,0.964194044521861,1.03114245528369,0.698780809088758,0.768364405960516,0.364891863928984,1.04123789992249
h9,0.657442163828238,0.495818731666059,1.13720177718841,0.998715651385197,1.06041199786918,0.691875335222329,0.754513011615472,0.346580853734805,1.06834308429569
h10,0.612788666578765,0.457191527316015,1.16460089564672,1.02488493327696,1.08644703213878,0.677836956954421,0.750304131581106,0.329127069767519,1.10274319837307
h11,0.574507987140474,0.424599930558418,1.19106628069882,1.04641724456492,1.10236444567287,0.684988981662355,0.739536983354085,0.311875072115305,1.13240799956146
h12,0.538833014266605,0.396103397898263,1.21127927691635,1.06080343668645,1.11642330166276,0.698168133027584,0.738131979119229,0.292147477528855,1.1560602846891
h13,0.504692676073509,0.372216354757025,1.22803324979174,1.07239608054042,1.12975345776714,0.712906454841558,0.725743744946739,0.276217994762425,1.16936515492478
h14,0.474387815570046,0.348980002029181,1.24563529039467,1.08211017378003,1.1402955189505,0.725251461396302,0.726786342567239,0.263748508862407,1.18759627811381
h15,0.445992418891613,0.328582115021019,1.25470218400489,1.08994370624525,1.14979534589689,0.736501232883345,0.720763775173064,0.248185769123925,1.20555705546573
h16,0.418716856173443,0.308075312163658,1.27229541142345,1.10421894531986,1.16118166603081,0.751090284681494,0.71808087308839,0.232856336049262,1.22886556629468
h17,0.395239412484879,0.292385981587082,1.28968661675089,1.13062227886209,1.17323585336747,0.769343584970993,0.720322384136615,0.220343443764704,1.24762348359467
h18,0.372317879032676,0.274792896238049,1.30439558737947,1.17895586751446,1.18476162855606,0.782711500794266,0.721989132695325,0.207015998012046,1.26485688756698
h19,0.348616248197289,0.259059456052539,1.31764910096844,1.25664281908105,1.19505868550268,0.800175800624785,0.725356892832678,0.193488059031255,1.27884027011464
h20,0.32803638774583,0.245049617703373,1.33025653949089,1.37184991132356,1.19744008995097,0.813519858991693,0.725603064820155,0.181916701401582,1.29237254952393
